Sku,Price,Special Price,Weight,Ups indicator,Packaging value,,,
RUB3747,1272.36,498.71,98,N,,DOC,,
RUB3748,886.5,468.62,50,N,,DOC,,
1883584,257.61,117.2,11,Y,17,DOC,,
1883593,257.61,117.2,11,Y,14.82,DOC,,
RCP1883455,183.37,85.1,3.65,Y,,DOC,,need to calculate
RCPT300,954.93,361.7144,12,Y,,DOC,,need to calculate
RCPT1424SSPL,988.07,374.1906,36,Y,,DOC,,need to calculate
RCPT1424SSRB,920.61,348.634,25,Y,,DOC,,need to calculate
RCPST24SSPL,1097.18,415.52,36,Y,,DOC,,need to calculate
RCPST24SSRB,1005.98,380.964,26,Y,,DOC,,need to calculate
RCPST40SSPL,1833.43,694.3212,46,Y,,DOC,,need to calculate
RCPR2030SSPL,1513.61,573.2056,71.23,Y,,DOC,,need to calculate
RCPS3ETHBZPL,961.68,364.1948,46,Y,,DOC,,need to calculate
RCPSC14EPLSM,851.04,322.293,30,Y,,DOC,,need to calculate
RCPSC18EPLSM,1041.41,405.5772,38,Y,,DOC,,need to calculate
RCPQST24SSPL,1173.44,444.3944,32,Y,,DOC,,need to calculate
RCPR1536MCGL,919.18,348.0934,27,Y,,DOC,,need to calculate
RCPR18SU201PL,1323.24,501.12,70,Y,,DOC,,need to calculate
RCPM1566000,153,72.56,2.6,Y,21.45,DOC,,
RCPM1566200,182,96.3,2.6,Y,22.3,DOC,,
RCPDCR24CSM,1315.3,498.1046,39,Y,,DOC,,need to calculate
RCPDCR24PSM,1315.3,498.1046,39,Y,,DOC,,need to calculate
RCPDCR24TSM,1315.3,498.1046,39,Y,,DOC,,need to calculate
RCPDRR24TSM,1192.04,451.4222,29,Y,,DOC,,need to calculate
RCPA17SUABZPL,1516.58,574.3398,65,Y,,DOC,,need to calculate
RCP9T78,1515.4,573.8946,60,Y,,DOC,,need to calculate
RCP9T94BLA,1283.74,486.1584,61,Y,,DOC,,need to calculate
RCP9T7500BK,1369.95,518.8064,70,Y,,DOC,,need to calculate
RCP9T58BLA,1585.28,600.3416,80,Y,,DOC,,need to calculate
RCP9T59BLA,2052.6,777.3192,75,Y,,DOC,,need to calculate
RCP9T61BLA,1777.76,673.2378,61,Y,,DOC,,need to calculate
RCP9T62BLA,1880.99,712.3306,80.005,Y,,DOC,,need to calculate
RCP9T34BLA,1057.57,387.9918,47.45,Y,,DOC,,need to calculate
RCP1966888,113.92,46.24,18,Y,,DOC,,need to calculate
RCP9P9000BG,1061.85,408.1216,52,Y,,DOC,,need to calculate
RCP9P9000DGR,1061.85,408.1216,52,Y,,DOC,,need to calculate
RCP9P90BLA,1061.85,408.1216,0,Y,,DOC,,need to calculate
RCP9P91BEI,1214.03,459.7538,49.8,Y,,DOC,,need to calculate
RCP9P91BLA,1214.03,459.7538,49.8,Y,,DOC,,need to calculate
RCP9P91DGR,1214.03,459.7538,49.8,Y,,DOC,,need to calculate
RCP9S1100YEL,1110.08,420.3854,35,Y,,DOC,,need to calculate
RCP917188BG,1028.4,389.4546,37,Y,,DOC,,need to calculate
RCP917188BLA,924.42,350.0756,37,Y,,DOC,,need to calculate
RCP917388BEI,924.42,350.0756,37,Y,,DOC,,need to calculate
RCP917388BLA,924.42,350.0756,37,Y,,DOC,,need to calculate
RCP818088BEI,1046.93,396.4718,1,Y,,DOC,,need to calculate
RCP818288BEI,917.01,347.2666,25.95,Y,,DOC,,need to calculate
RCP773488,991.23,375.3778,69,Y,,DOC,,need to calculate
RCP6191BLA,2134.72,808.4196,120,Y,,DOC,,need to calculate
RCP618000BLA,976.41,369.7598,52,Y,,DOC,,need to calculate
RCP618088BLA,1332.81,504.7402,65,Y,,DOC,,need to calculate
RCP454888BLA,2312.91,875.9204,146,N,,DOC,,
RCP453588BLA,1295.71,490.6846,84,N,,DOC,,
RCP451388BLA,1544.42,584.8656,86,N,,DOC,,
RCP430000BK,1154.62,437.2606,52,Y,,DOC,,need to calculate
RCP409600BLA,831.6,314.9366,52,Y,,DOC,,need to calculate
RCP4092CRE,894.75,338.8396,44,Y,,DOC,,need to calculate
RCP4093BLA,1020.96,386.635,49.65,Y,,DOC,,need to calculate
RCP4093CRE,1020.96,386.635,50,Y,,DOC,,need to calculate
RCP4094GRA,1020.96,386.635,55,Y,,DOC,,need to calculate
RCP4095BLA,1110.08,420.3854,52,Y,,DOC,,need to calculate
RCP3965DGR,1369.95,498.8466,75,N,,DOC,,
RCP354007BE,128.19,49.4532,7.65,Y,12.5,DOC,,
