sku,price,special+AF8-price,weight,ups,shipping+AF8-cost
RCP614687RD,687.95,355.577,18.75,Y,
RCP614687RD,687.95,355.577,18.75,Y,
RCP6147L1,16.42,8.4672,1,Y,
RCP614700RD,445.74,202.778,18.75,Y,
RCP614787BK,841.87,382.9674,21.75,Y,
RCP6171BLA,320.39,121.317,16.2,Y,
RCP617388BK,327.24,176.4582,38,Y,
RCP6176BLACT,249.8,96.4008,3.7,Y,
RCP6177L1,27.33,14.0508,0.5,Y,
RCP618000BLA,976.41,369.7598,52,Y,
RCP1966719,113.92,46.8072,1,Y,
RCP6199BLA,146.93,68.2452,1,Y,
RCP627677,96.88,37.3788,3.52,Y,
RCP627777,69.78,26.9244,2.34,Y,
RCP630100YEL,5.55,2.1492,0.236,Y,
RCP631000WE,5.15,2.5704,0.219,Y,
RCP631100WE,5.21,2.0196,0.234,Y,
RCP6342,14.85,5.7348,0.444,Y,
RCP6351DZ,80.35,30.9636,10,Y,
RCP6357DZ,196.42,75.7188,1.05,Y,
RCP637400BLA,18.91,7.29,1.1,Y,
RCP637500GY,36.06,13.9104,0.82,Y,
RCP638906BLACT,163.18,61.0092,4.41,Y,
RCP6397CT,311.74,118.1158,12,Y,
RCP6435BRNZ,51.25,31.5684,2.35,Y,
RCP6C0100,36.64,14.4936,0.583,Y,
RCP7035BROCT,90.52,34.9488,5.952,Y,
RCP1982726,35.28,13.6188,2,Y,
RCP738000YEL,142.45,54.9612,11.408,Y,
RCP757688YW,487.28,184.5354,20.45,Y,
RCP757788BN,309.69,117.2678,21,Y,
RCP757788YW,258.78,141.5312,14,Y,
RCP758088BN,207.95,80.244,21,Y,
RCP758088YW,180.35,80.244,20,Y,
RCP758888BLU,252.58,97.4592,19.6,Y,
RCP768000YW,343.61,130.1362,25.45,Y,
RCP773488,991.23,375.3778,69,Y,
RCP778000YW,492.62,186.56,37.98,Y,
RCP780508BLA,495.65,187.7048,17,Y,
RCP780508DGR,495.65,187.7048,17,Y,
RCP780608DGR,406.5,153.9438,16.5,Y,
RCP780608PLA,406.5,153.9438,16.5,Y,
RCP781588DGR,113.96,43.9668,2.5,Y,
RCP781788WE,271.04,104.5764,4,Y,
RCP781888,683.12,258.7036,26,Y,
RCP816088BG,386.11,146.227,17.736,Y,
RCP817088BG,503.06,190.5138,22.994,Y,
RCP817088BK,503.06,190.5138,62.81,Y,
RCP8248ELDCT,483.36,177.3168,6,N,
RCP843088BG,696.11,263.6114,37,Y,
RCP91060,80.32,45.8244,1,N,
RCP917188BG,1028.4,389.4546,43,Y,
RCP9B02DZ,458.67,173.7658,1.85,Y,
RCP9B0900BLA,35.62,13.7484,1.81,Y,
RCP9B29,10.75,4.2768,0.315,Y,
RCP9B32,15.19,6.048,0.584,Y,
RCP9B36YELCT,80.16,30.8988,0.5,Y,
RCP9B44GRACT,151.4,58.3956,3,Y,
RCP9C04CT,147.13,56.7864,8.322,Y,
RCP9C74YEL,65.57,45.9,2.416,Y,
RCP9C90WHI,34.65,,0.46,N,
RCP9G58WHI,390,,18.5,N,
RCP9G76WHI,98.25,,3.04,N,
RCP9G77WHI,136.5,,4.3,N,
RCP9M01BLACT,138.01,51.192,5,Y,
RCP9P9000BG,1061.85,402.1216,52,Y,
RCP9P9000DGR,1061.85,402.1216,52,Y,
RCP9P91DGR,1214.03,459.7538,49.8,Y,
RCP9S0100YL,98.36,37.9512,1.83,Y,
RCP9S0925CT,193.81,71.928,11.023,Y,
RCP9S1100YEL,1110.08,420.3854,35,Y,
RCP9S1600YL,57.88,22.3344,1.042,Y,
RCP9S30GRACT,380.92,144.2766,45.6,Y,
RCP9S30WHICT,380.92,144.28,6.3,Y,
RCP9S31GRACT,461.09,174.5926,46,Y,
RCP9S31WHICT,461.09,174.5926,7.25,N,
RCP1966888,455.68,172.568,40,N,
RCP1966887,256.3,43.956,8,Y,
RCP9T1700BLA,1214.03,459.7538,45,N,
RCP9T1800BLA,1659.52,628.4634,85,N,
RCP9T28,484.5,183.486,30,Y,
RCP9T30,549.44,208.0674,30,Y,
RCP9T32,835.33,316.3358,37,Y,
RCP9T35,585.2,302.4286,62,Y,
RCP9T45,1258.54,476.6184,67.3,N,
RCP9T56BLA,1276.52,505.6094,74,N,
