sku,final_sku,Cost,discount,weight,ups,,,,,,,,,,,,,,,
RCP3690WHI,RCP3690WHICT,179.12,64.02,6.8,Y,,,,,,,,,,,,,,,
RCP3958BEI,RCP3958GRA,258.01,92.18,77.3,Y,,,,,,,,,,,,,,,
RCP3964BEI,RCP3964BLA,1217.74,418.32,74,N,RCP3964DGR,1217.74,435.05,74.6,N,,,,,,,,,,
RCP396973BLU,RCP396973BLU,747.84,506.68,78,N,,,,,,,,,,,,,,,
RCP4091BLA,RCP4091L1BLA,93.05,55.77,10.1,N,RCP4091GRA,634.88,226.83,43,Y,,,,,,,,,,
RCP4091CRE,RCP409100CM,634.88,226.83,43.4,Y,RCP409100BLA,634.88,226.83,43.4,Y,,,,,,,,,,
RCP4096BLA,RCP409600BLA,831.6,297.11,52,Y,,,,,,,,,,,,,,,
RCP424288,RCP424288BLA,279.38,99.82,32.4,N,,,,,,,,,,,,,,,
RCP4243,RCP4243BLA,247.82,88.53,23.267,N,,,,,,,,,,,,,,,
RCP4244,RCP4244BLA,264.52,90.87,24.8,N,,,,,,,,,,,,,,,
RCP424806,RCP424806BLACT,345.41,123.4,11.6,Y,,,,,,,,,,,,,,,
RCP4254YEL,RCP4254,53.48,19.11,1.212,Y,,,,,,,,,,,,,,,
RCP4300BLA,RCP430000BK,1154.62,412.51,52,Y,,,,,,,,,,,,,,,
RCP4400BLA,RCP440000,310.01,110.75,19.1,Y,,,,,,,,,,,,,,,
RCP4436BLA,RCP443600BK,1202.89,429.75,78,N,,,,,,,,,,,,,,,
RCP4462BLA,RCP4462,891.04,318.34,73,N,,,,,,,,,,,,,,,
RCP4464BLA,RCP4464,1147.18,409.85,106,N,,,,,,,,,,,,,,,
RCP4465BLA,RCP4465,2446.62,874.09,133,N,,,,,,,,,,,,,,,
RCP4467BLA,RCP4467,1121.24,400.58,81,N,,,,,,,,,,,,,,,
RCP4469BLA,RCP4469,1399.65,500.06,117,N,,,,,,,,,,,,,,,
RCP4475BLA,RCP447500BLA,1282.63,473.75,86,N,,,,,,,,,,,,,,,
RCP450088BEI,RCP450088BG,464.08,165.8,42,Y,,,,,,,,,,,,,,,
RCP450088BLA,RCP450088BK,464.08,165.8,42,Y,,,,,,,,,,,,,,,
RCP4505BEI,RCP450500BG,497.49,177.73,30.25,Y,RCP450500BK,497.49,177.73,30,Y,,,,,,,,,,
RCP4505BLA,RCP450500BK,497.49,177.73,30,Y,,,,,,,,,,,,,,,
RCP452088BEI,RCP452088BG,527.15,188.33,41,Y,RCP452088BK,527.15,188.33,58.67,Y,,,,,,,,,,
RCP452088BLA,RCP452088BK,527.15,188.33,58.67,Y,,,,,,,,,,,,,,,
RCP4525BEI,RCP452500BG,551.33,196.98,41,Y,RCP452500BK,551.33,196.98,41,Y,,,,,,,,,,
RCP4525BLA,RCP452500BK,551.33,196.98,41,Y,,,,,,,,,,,,,,,
RCP4590,RCP4590BLA,125.86,44.97,3,Y,,,,,,,,,,,,,,,
RCP4603,DISCONTINUED,737.17,255.12,,,,,,,,,,,,,,,,,
RCP4612BLA,RCP461200BLA,961.56,343.53,47.7,N,,,,,,,,,,,,,,,
RCP4613BLA,RCP461300BLA,447.4,159.84,15.12,Y,,,,,,,,,,,,,,,
RCP4616BLA,RCP4616BLU,1169.47,417.81,53,N,RCP4616WHI,1169.47,417.81,50.926,N,,,,,,,,,,
RCP461673BLU,RCP461673BE,1169.47,417.81,51,N,,,,,,,,,,,,,,,
RCP4726BLA,RCP4726BLA,701.65,250.68,,,,,,,,,,,,,,,,,
RCP505012,RCP505012CT,649.88,232.2,2.7,Y,,,,,,,,,,,,,,,
RCP5114CRE,RCP511400WH,112.38,40.15,0.818,Y,,,,,,,,,,,,,,,
RCP5160,RCP516000,157.11,56.14,3,Y,,,,,,,,,,,,,,,
RCP564210BLA,RCP564210,1299.36,464.21,1,N,,,,,,,,,,,,,,,
RCP571473BLU,RCP571473BE,54.16,19.35,4.01,Y,,,,,,,,,,,,,,,
RCP6112YEL,RCP611200YW,32.3,12.36,2.2,Y,RCP611277YW,28.03,12.36,2.5,Y,,,,,,,,,,
RCP611277YEL,RCP611277YWCT,168.18,86.6,15,Y,,,,,,,,,,,,,,,
RCP6140WHI,RCP614000,130.32,46.55,2.611,Y,,,,,,,,,,,,,,,
RCP6143BEI,RCP1883456,220.57,87.85,8,Y,,,,,,,,,,,,,,,
RCP6143RED,RCP1883564,220.57,87.85,8,Y,,,,,,,,,,,,,,,
RCP6143WHI,RCP1883555,220.57,87.85,8,Y,,,,,,,,,,,,,,,
RCP6144BEI,RCP6144YEL,265.92,92.03,9.039,Y,,,,,,,,,,,,,,,
RCP6144RED,RCP6144YEL,265.92,92.03,9.039,Y,,,,,,,,,,,,,,,
RCP6144WHI,RCP6144YEL,265.92,92.03,9.039,Y,,,,,,,,,,,,,,,
RCP6145BEI,RCP6145L3,34.39,16.42,0.44,Y,,,,,,,,,,,,,,,
RCP6145RED,RCP6145L3,34.39,16.42,0.44,Y,,,,,,,,,,,,,,,
RCP6145WHI,RCP1883559,293.01,116.71,12,Y,,,,,,,,,,,,,,,
RCP6146BEI,RCP1883552,419.28,149.79,16.424,Y,,,,,,,,,,,,,,,
RCP614687BLA,RCP614687RD,687.95,335.45,18.75,Y,,,,,,,,,,,,,,,
RCP614687RED,RCP614687RD,687.95,335.45,18.75,Y,,,,,,,,,,,,,,,
RCP6147LPL,RCP6147L1,16.42,7.84,1,Y,,,,,,,,,,,,,,,
RCP6147RED,RCP614700RD,445.74,191.3,18.75,Y,,,,,,,,,,,,,,,
RCP614787BLA,RCP614787BK,841.87,361.29,21.75,Y,,,,,,,,,,,,,,,
RCP6171,RCP6171BLA,320.39,114.45,16.2,Y,,,,,,,,,,,,,,,
RCP617388BLA,RCP617388BK,327.24,166.47,38,Y,,,,,,,,,,,,,,,
RCP6176BLA,RCP6176BLACT,249.8,89.26,3.7,Y,,,,,,,,,,,,,,,
RCP6177BEI,RCP6177L1,27.33,13.01,0.5,Y,,,,,,,,,,,,,,,
RCP6180BLA,RCP618000BLA,976.41,348.83,52,Y,,,,,,,,,,,,,,,
RCP6183YEL,RCP1966719,113.92,43.34,1,Y,,,,,,,,,,,,,,,
RCP6199BRO,RCP6199BLA,146.93,63.19,1,Y,,,,,,,,,,,,,,,
RCP627677YEL,RCP627677,96.88,34.61,3.52,Y,,,,,,,,,,,,,,,
RCP627777YEL,RCP627777,69.78,24.93,2.34,Y,,,,,,,,,,,,,,,
RCP6301YEL,RCP630100YEL,5.55,1.99,0.236,Y,,,,,,,,,,,,,,,
RCP6310WHI,RCP631000WE,5.15,2.38,0.219,Y,,,,,,,,,,,,,,,
RCP6311WHI,RCP631100WE,5.21,1.87,0.234,Y,,,,,,,,,,,,,,,
RCP6342SIL,RCP6342,14.85,5.31,0.444,Y,,,,,,,,,,,,,,,
RCP6351,RCP6351DZ,80.35,28.67,10,Y,,,,,,,,,,,,,,,
RCP6357,RCP6357DZ,196.42,70.11,1.05,Y,,,,,,,,,,,,,,,
RCP6374,RCP637400BLA,18.91,6.75,1.1,Y,,,,,,,,,,,,,,,
RCP6375GRA,RCP637500GY,36.06,12.88,0.82,Y,,,,,,,,,,,,,,,
RCP638906BLA,RCP638906BLACT,163.18,56.49,4.41,Y,,,,,,,,,,,,,,,
RCP6397,RCP6397CT,311.74,111.43,12,Y,,,,,,,,,,,,,,,
RCP6435BRO,RCP6435BRNZ,51.25,29.23,2.35,Y,,,,,,,,,,,,,,,
RCP6C01,RCP6C0100,36.64,13.42,0.583,Y,RCP6C0100CT,439.65,144.89,9,Y,,,,,,,,,,
RCP7035WHI,RCP7035BROCT,90.52,32.36,5.952,Y,,,,,,,,,,,,,,,
RCP704104WHI,RCP1982726,35.28,12.61,2,Y,,,,,,,,,,,,,,,
RCP7380YEL,RCP738000YEL,142.45,50.89,11.408,Y,,,,,,,,,,,,,,,
RCP757688YEL,RCP757688YW,487.28,174.09,20.45,Y,,,,,,,,,,,,,,,
RCP757788BRO,RCP757788BN,309.69,110.63,21,Y,RCP757788YW,258.78,133.52,14,Y,,,,,,,,,,
RCP757788YEL,RCP757788YW,258.78,133.52,14,Y,,,,,,,,,,,,,,,
RCP758088BRO,RCP758088BN,207.95,74.3,21,Y,,,,,,,,,,,,,,,
RCP758088YEL,RCP758088YW,180.35,74.3,20,Y,,,,,,,,,,,,,,,
RCPH246GRA,RCPH246GRE,43.03,15.37,1.666,Y,RCPH246BLU,43.03,15.37,1.26,Y,RCPH246GY,43.03,15.37,1.4,Y,RCPH246RED,43.03,15.37,1.258,Y
RCPJ15112,RCPJ15112CT,368.28,131.59,9.6,Y,,,,,,,,,,,,,,,
RCPJ152,RCPJ15200YEL,36.46,13.02,0.878,Y,,,,,,,,,,,,,,,
RCPJ153,RCPJ15300YEL,42.47,15.17,1.5,Y,,,,,,,,,,,,,,,
RCPJ155,RCPJ15500YEL,56.76,20.29,1.579,Y,,,,,,,,,,,,,,,
RCPJ253BLU,RCPJ253BLUDZ,449.75,160.67,1,Y,,,,,,,,,,,,,,,
RCPJ353,RCPJ353DZ,462.39,165.26,12.39,Y,,,,,,,,,,,,,,,
RCPMST35ERD,RCPMST35EPLWH,99.01,40.79,6.38,Y,,,,,,,,,,,,,,,
RCPMST7SSGL,RCPMST35SSPL,180.34,74.29,5.9,Y,,,,,,,,,,,,,,,
RCPQ180BLA,RCPQ180BLACT,86.86,31.08,1,Y,,,,,,,,,,,,,,,
RCPQ322,RCPQ322CT,552.23,197.36,9.996,Y,,,,,,,,,,,,,,,
RCPQ409BLU,RCPQ40920BLUCT,150.27,52.03,1,Y,,,,,,,,,,,,,,,
RCPQ410BLU,RCPQ41000BLU,276.77,98.89,2.95,Y,,,,,,,,,,,,,,,
RCPQ412WHI,RCPQ412WH,23.34,8.59,0.129,Y,RCPQ412WHCT,273.2,100.09,2.75,Y,,,,,,,,,,
RCPQ415,RCPQ415BE,28.21,10.08,0.201,Y,,,,,,,,,,,,,,,
RCPQ416,RCPQ41600,38.69,9.59,0.5,Y,RCPQ41600CT,232.15,80.34,4,Y,,,,,,,,,,
RCPQ418,RCPQ418GN,32.3,11.89,0.257,Y,RCPQ418GNCT,161.42,69.26,3.2,Y,,,,,,,,,,
RCPQ426,RCPQ42600GR00,244.96,87.56,3,Y,,,,,,,,,,,,,,,
RCPQ610YEL,RCPQ61000YL,4.32,2.58,0.15,Y,,,,,,,,,,,,,,,
RCPQ620BLU,RCPQ620BLUCT,107.13,38.3,0.15,Y,,,,,,,,,,,,,,,
RCPQ620GRE,RCPQ620,107.13,38.3,1.85,Y,,,,,,,,,,,,,,,
RCPQ630BLU,RCPQ63006BLUCT,64.54,23.08,0.9,Y,,,,,,,,,,,,,,,
RCPQ750,RCPQ750YW,22.63,8.09,0.72,Y,,,,,,,,,,,,,,,
RCPQ805,RCPQ805CT,205.16,73.27,5,Y,,,,,,,,,,,,,,,
RCPQ810,RCPQ810YEL,211.67,75.65,2,Y,,,,,,,,,,,,,,,
RCPQ95088YEL,RCPQ95088YW,126.61,45.23,27.73,Y,,,,,,,,,,,,,,,
RCPQ966,RCPQ966L1,24.49,16.14,1,Y,RCPQ96600,90.18,32.22,3.6,Y,,,,,,,,,,
RCPR1536EOTBKGL,RCPR1536EOTGLBK,363.57,129.88,44.79,Y,,,,,,,,,,,,,,,
RCPR1536SSSGL,RCPR1536SSSPL,746.2,266.59,25,Y,,,,,,,,,,,,,,,
RCPR2030EPLBK,RCPR2030SSPL,1513.61,540.76,71.23,Y,,,,,,,,,,,,,,,
RCPR32SSS,RCPR32SSSGL,509.52,196.4,28,Y,,,,,,,,,,,,,,,
RCPS3ETBKPL,RCPS3ETHBZPL,961.68,343.58,46,Y,,,,,,,,,,,,,,,
RCPSBR52BK,RCPSBR52EBK,506.88,181.09,35,Y,,,,,,,,,,,,,,,
RCPSO1220PLBK,RCPSO1220B,490.08,175.09,28,Y,,,,,,,,,,,,,,,
