Item Number,List Price,Cost Column 1 Price,Item Weight,UPS Indicator
RUB16550111,100.46,58.19,8.646,Y
RUB16830111,49.17,27.95,5.022,Y
RUB1683ISORAN,47.68,27,5.198,Y
RUB1683ORG,65.75,26.17,4.87,Y
RUB2212CPSTE,31.5,11.69,4.583,Y
RUB2214TPSTE,28.44,11.68,4.22,Y
RUB2215CPSTE,32.7,12.87,3.5,Y
RUB2385WHICT,97.68,43.92,11.45,Y
RUB2463DIM,124.51,52.79,13.378,N
RUB2806TPWHICT,129.78,49.68,13.92,Y
RUB284187WHICT,243.9,104.16,28.8,Y
RUB2919RDWHICT,47.7,22.02,0.61,Y
RUB2B41WHICT,156.24,65.28,18.89,Y
RUB3747,1272.36,471.98,97.7,N
RUB374701OLVSS,446.61,245.18,93.85,N
RUB3748,886.5,438.04,52.2,N
RUB3Q31CLE,50.9,23.9,4,Y
RUB7085,273.86,123.42,36.946,Y
RUBFG198200TRWH,184.41,103.67,22.15,Y
