id,sku,cat1,cat2,cat3,cat4,cat5,cat6,cat7
1582,RCP3552GRA,Default Category,Waste,Rigid Liners,,,,
1583,RCP3553STL,Default Category,Waste,Indoor Waste Receptacles,Slim Jim Containers,,,
1584,RCP3563BEI,Default Category,Waste,Rigid Liners,,,,
1585,RCP3566GRA,Default Category,Waste,Rigid Liners,,,,
1586,RCP356907Green,Default Category,Waste,Recycling Containers,,,,
1587,RCP356973BLU,Default Category,Waste,Recycling Containers,,,,
1588,RCP356988BRO,Default Category,Waste,Indoor Waste Receptacles,Waste Receptacles,,,
1589,RCP356988BEI,Default Category,Waste,Indoor Waste Receptacles,Waste Receptacles,,,
1590,RCP356988BLA,Default Category,Waste,Indoor Waste Receptacles,Waste Receptacles,,,
1591,RCP356988GRA,Default Category,Waste,Indoor Waste Receptacles,Waste Receptacles,,,
1592,RCP360088WHI,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,,,
1593,RCP360288WHI,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,,,
1594,RCP360388WHI,Default Category,Food Service,Ingredient Bins,Kitchen Supplies,,,
1595,RCP3620BLA,Default Category,Waste,Waste Receptacles Lids,,,,
1596,RCP3690WHI,Default Category,Food Service,Kitchen Supplies,Food Storage Containers & Lids,,,
1597,RCP3958BEI,Default Category,Waste,Indoor Waste Receptacles,Waste Receptacles,,,
1598,RCP3958GRA,Default Category,Waste,Outdoor Waste Receptacles,Waste Receptacles,,,
1599,RCP395873BLU,Default Category,Recycling Containers,,,,,
1600,RCP3959BEI,Default Category,Waste,Rigid Liners,,,,
1601,RCP3959GRA,Default Category,Waste,Rigid Liners,,,,
1602,RCP395973BLU,Default Category,Waste,Recycling Containers,,,,
1603,RCP3964BEI,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1604,RCP3964BLA,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1605,RCP3964DGR,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1606,RCP3965BEI,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1607,RCP3965BLA,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1608,RCP3965DGR,Default Category,Waste,Outdoor Waste Receptacles,Plaza Containers,,,
1609,RCP396873BLU,Default Category,Waste,Recycling Containers,,,,
1610,RCP396973BLU,Default Category,Waste,Recycling Containers,,,,
1611,RCP3970SAB,Default Category,Waste,Outdoor Waste Receptacles,Landmark,,,
1612,RCP3975SAB,Default Category,Waste,Outdoor Waste Receptacles,Landmark,,,
1613,RCP397589,Default Category,Waste,Outdoor Waste Receptacles,Landmark,,,
1614,RCP4003RIV,Default Category,Waste,Outdoor Waste Receptacles,Landmark,,,
1615,RCP4004RIV,Default Category,Waste,Outdoor Waste Receptacles,Landmark,,,
1616,RCP4091BLA,Default Category,Material Handling,Service Carts ,Utility Carts,,,
1617,RCP4091GRA,Default Category,Material Handling,Service Carts ,Utility Carts,,,
1618,RCP4091CRE,Default Category,Material Handling,Service Carts ,Utility Carts,,,
1619,RCP4092CRE,Default Category,Material Handling,Service Carts ,,,,
1620,RCP4093BLA,Default Category,Material Handling,Service Carts ,Utility Carts,,,
1621,RCP4093CRE,Default Category,Material Handling,Service Carts ,Utility Carts,,,
1622,RCP4095BLA,Default Category,Material Handling,Service Carts ,Utility Carts,,,
1623,RCP4096BLA,Default Category,Material Handling,Utility Carts,,,,
1624,RCP421388BLA,Default Category,Cleaning,Floor & Carpet Care,Sweepers,,,
1625,RCP421588BLA,Default Category,Cleaning,Floor & Carpet Care,Sweepers,,,
1626,RCP424288,Default Category,Agriculture,Waste,Stock Tanks,Outdoor Waste Receptacles,Livestock Tanks,
1627,RCP4243,Default Category,Waste,Stock Tanks,Outdoor Waste Receptacles,Livestock Tanks,,
1628,RCP4244,Default Category,Agriculture,Waste,Stock Tanks,Outdoor Waste Receptacles,Livestock Tanks,
1629,RCP4245BLA,Default Category,Agriculture,Waste,Stock Tanks,Outdoor Waste Receptacles,Livestock Tanks,
1630,RCP4247BLA,Default Category,Agriculture,Waste,Stock Tanks,Outdoor Waste Receptacles,Livestock Tanks,
1631,RCP424806,Default Category,Agriculture,Waste,Stock Tanks,Outdoor Waste Receptacles,Livestock Tanks,
1632,RCP4251YEL,Default Category,Safety,Safety Signs,Pads,,,
1633,RCP4252YEL,Default Category,Safety,Safety Signs,Pads,,,
1634,RCP4253YEL,Default Category,Safety,Safety Signs,Pads,,,
1635,RCP4254YEL,Default Category,Safety,Safety Signs,Pads,,,
1636,RCP4300BLA,Default Category,Material Handling,Utility Carts,,,,
1637,RCP4400BLA,Default Category,Material Handling,Triple Trolley Carts,Utility Carts,,,
1638,RCP4401BLA,Default Category,Material Handling,Triple Trolley Carts,Utility Carts,,,
1639,RCP4403BLA,Default Category,Material Handling,Platform Trucks,,,,
1640,RCP4406BLA,Default Category,Material Handling,Platform Trucks,,,,
1641,RCP4436BLA,Default Category,Material Handling,Platform Trucks,,,,
1642,RCP443610BLA,Default Category,Material Handling,Platform Trucks,,,,
1643,RCP4441BLA,Default Category,Material Handling,Platform Trucks,,,,
1644,RCP4462BLA,Default Category,Material Handling,Platform Trucks,,,,
1645,RCP4463BLA,Default Category,Material Handling,Platform Trucks,,,,
1646,RCP4464BLA,Default Category,Material Handling,Platform Trucks,,,,
1647,RCP4465BLA,Default Category,Material Handling,Platform Trucks,,,,
1648,RCP4466BLA,Default Category,Material Handling,Platform Trucks,,,,
1649,RCP446610BLA,Default Category,Material Handling,Platform Trucks,,,,
1650,RCP4467BLA,Default Category,Material Handling,Platform Trucks,,,,
1651,RCP4468BLA,Default Category,Material Handling,Platform Trucks,,,,
1652,RCP4469BLA,Default Category,Material Handling,Platform Trucks,,,,
1653,RCP4471BLA,Default Category,Material Handling,Platform Trucks,,,,
1654,RCP4473BLA,Default Category,Material Handling,Platform Trucks,,,,
1655,RCP4475BLA,Default Category,Material Handling,Platform Trucks,,,,
1656,RCP4477BLA,Default Category,Material Handling,Platform Trucks,,,,
1657,RCP4479BLA,Default Category,Material Handling,Platform Trucks,,,,
1658,RCP4485BLA,Default Category,Material Handling,Platform Trucks,,,,
1659,RCP4486BLA,Default Category,Material Handling,Platform Trucks,,,,
1660,RCP4496BLA,Default Category,Material Handling,Platform Trucks,,,,
1661,RCP450088BEI,Default Category,Material Handling,Utility Carts,,,,
1662,RCP450088BLA,Default Category,Material Handling,Utility Carts,,,,
1663,RCP4501L1,Default Category,Material Handling,Cart Accessories,,,,
1664,RCP4501L2,Default Category,Material Handling,Cart Accessories,,,,
1665,RCP4505BEI,Default Category,Material Handling,Utility Carts,,,,
1666,RCP4505BLA,Default Category,Material Handling,Utility Carts,,,,
1667,RCP451288BLA,Default Category,Material Handling,TradeMaster Carts,Utility Carts,,,
1668,RCP451388BLA,Default Category,Material Handling,TradeMaster Carts,Utility Carts,,,
