Item Number,Manufacturer Long Name,List Price,Item Weight
RCP1000E,RUBBERMAID COMMERCIAL PROD.,169.63,7.000
RCP1004L3,,107.28,1.000
RCP1005L4,,35.40,2.000
RCP100PCLECT,,61.75,1.500
RCP1011BLA,RUBBERMAID COMMERCIAL PROD.,1555.55,45.880
RCP1011L1,,113.28,5.320
RCP1011L2,RUBBERMAID COMMERCIAL PROD.,27.45,1.015
RCP1013BLA,RUBBERMAID COMMERCIAL PROD.,1830.30,99.000
RCP1013L1,,178.49,8.240
RCP1024,,9.45,1.000
RCP1025BLA,RUBBERMAID COMMERCIAL PROD.,4696.38,212.000
RCP1025L4,,65.12,3.560
RCP1025L5,,861.16,80.320
RCP1025L6,,114.28,18.700
RCP1026BLA,RUBBERMAID COMMERCIAL PROD.,5216.15,0.000
RCP1027BLA,,1158.35,32.804
RCP1028BLA,RUBBERMAID COMMERCIAL PROD.,447.40,19.200
RCP102P86CLE,,55.61,0.900
RCP1035BLA,RUBBERMAID COMMERCIAL PROD.,5531.73,215.000
RCP103P29GRACT,,119.78,1.900
RCP1046BLA,RUBBERMAID COMMERCIAL PROD.,6530.40,231.400
RCP104PCLE,,10.29,1.000
RCP105443BLA,,4618.41,0.000
RCP1054BLA,RUBBERMAID COMMERCIAL PROD.,3816.54,194.000
RCP105610CT,,56.10,0.000
RCP105943BL,,5290.39,251.000
RCP1059BLA,RUBBERMAID COMMERCIAL PROD.,4432.78,230.000
RCP105PCLE,RUBBERMAID COMMERCIAL PROD.,11.01,0.450
RCP1064BLA,RUBBERMAID COMMERCIAL PROD.,6404.16,307.000
RCP106943BLA,RUBBERMAID COMMERCIAL PROD.,8045.12,0.000
RCP1069BLA,RUBBERMAID COMMERCIAL PROD.,6831.12,303.200
RCP106PCLE,RUBBERMAID COMMERCIAL PROD.,15.13,1.000
RCP1074BLA,RUBBERMAID COMMERCIAL PROD.,7365.73,304.500
RCP108P23CLE,RUBBERMAID COMMERCIAL PROD.,10.63,0.183
RCP108P86CLE,RUBBERMAID COMMERCIAL PROD.,10.63,0.200
RCP110010BK,,264.62,12.000
RCP1100EBK,RUBBERMAID COMMERCIAL PROD.,234.61,11.905
RCP1100SSS,,399.53,12.000
RCP111PCLE,,16.15,1.000
RCP1148,,496.92,21.800
RCP114P86CLECT,,57.66,2.100
RCP114PCLE,,9.61,1.000
RCP116PCLECT,,82.40,4.296
RCP1172BLACT,,402.24,45.370
RCP117PCLE,RUBBERMAID COMMERCIAL PROD.,17.86,0.800
RCP118PCLE,RUBBERMAID COMMERCIAL PROD.,20.27,1.000
RCP119201BLA,RUBBERMAID COMMERCIAL PROD.,293.22,1.000
RCP1192BLA,,151.85,1.000
RCP120PAMBCT,,183.21,1.000
RCP121P23CLE,RUBBERMAID COMMERCIAL PROD.,10.63,0.460
RCP123PCLE,,16.46,1.000
RCP124PCLE,RUBBERMAID COMMERCIAL PROD.,19.90,1.200
RCP125PCLE,RUBBERMAID COMMERCIAL PROD.,25.42,2.400
RCP127PAMB,,247.94,3.000
RCP128P23CLE,RUBBERMAID COMMERCIAL PROD.,14.42,0.743
RCP128P86CLECT,,86.49,0.720
RCP1304BLA,RUBBERMAID COMMERCIAL PROD.,1369.95,59.000
RCP1304L3,,29.17,1.220
RCP130542,RUBBERMAID COMMERCIAL PROD.,2290.62,85.000
RCP130573BLU,RUBBERMAID COMMERCIAL PROD.,1967.66,80.400
RCP1305BLA,RUBBERMAID COMMERCIAL PROD.,1967.66,77.000
RCP1305L3,,99.55,6.900
RCP1305RED,,1967.66,0.000
RCP1306BLA,RUBBERMAID COMMERCIAL PROD.,2294.38,62.000
RCP1307BLA,RUBBERMAID COMMERCIAL PROD.,374.97,19.800
RCP130PCLECT,,183.40,12.800
RCP1314BLA,RUBBERMAID COMMERCIAL PROD.,1852.56,101.000
RCP1314L1BLA,,621.61,50.000
RCP1314L3,,45.85,2.460
RCP131542BLA,RUBBERMAID COMMERCIAL PROD.,2944.10,120.000
RCP1315BLA,RUBBERMAID COMMERCIAL PROD.,2531.96,40.800
