Item Number,List Price,Cost Column 1 Price,Item Weight,UPS Indicator
RCP1000E,169.63,60.61,7.000,Y
RCP1004L3,107.28,56.22,1.000,Y
RCP1005L4,35.40,17.90,2.000,Y
RCP100PCLECT,61.75,22.08,1.500,Y
RCP1011BLA,1555.55,555.75,45.880,N
RCP1011L1,113.28,55.52,5.320,Y
RCP1011L2,27.45,14.19,1.015,Y
RCP1013BLA,1830.30,653.90,99.000,N
RCP1013L1,178.49,88.13,8.240,Y
RCP1024,9.45,4.23,1.000,Y
RCP1025BLA,4696.38,1677.85,212.000,N
RCP1025L4,65.12,31.11,3.560,Y
RCP1025L5,861.16,401.49,80.320,N
RCP1025L6,114.28,54.57,18.700,Y
RCP1026BLA,5216.15,2243.51,0.000,N
RCP1027BLA,1158.35,413.84,32.804,N
RCP1028BLA,447.40,159.84,19.200,N
RCP102P86CLE,55.61,23.76,0.900,Y
RCP1035BLA,5531.73,1976.31,215.000,N
RCP103P29GRACT,119.78,42.85,1.900,Y
RCP1046BLA,6530.40,2333.09,231.400,N
RCP104PCLE,10.29,3.68,1.000,Y
RCP105443BLA,4618.41,1986.41,0.000,N
RCP1054BLA,3816.54,1363.51,194.000,N
RCP105610CT,56.10,22.90,0.000,Y
RCP105943BL,5290.39,1890.09,251.000,N
RCP1059BLA,4432.78,1583.68,230.000,N
RCP105PCLE,11.01,3.93,0.450,Y
RCP1064BLA,6404.16,2287.99,307.000,N
RCP106943BLA,8045.12,3460.27,0.000,N
RCP1069BLA,6831.12,2440.53,303.200,N
RCP106PCLE,15.13,5.40,1.000,Y
RCP1074BLA,7365.73,2631.53,304.500,N
RCP108P23CLE,10.63,3.80,0.183,Y
RCP108P86CLE,10.63,3.80,0.200,Y
RCP110010BK,264.62,94.53,12.000,Y
RCP1100EBK,234.61,83.82,11.905,Y
RCP1100SSS,399.53,142.72,12.000,Y
RCP111PCLE,16.15,5.77,1.000,Y
RCP1148,496.92,192.24,21.800,Y
RCP114P86CLECT,57.66,20.58,2.100,Y
RCP114PCLE,9.61,3.43,1.000,Y
