Rubbermaid 6189 Full-Size Housekeeping Cart ,RCP 6189 PLA,"<p><span><strong>Full-Size Housekeeping Cart.</strong>&nbsp;</span>For room service dependability.&nbsp;Generous storage capacity, services a minimum of 15 rooms.&nbsp;Large linen cabinet with shelf.</p>",,,,,,,
Rubbermaid 6190 Multi-Shelf Cleaning Cart 3 Shelves ,RCP 6190 BLA,"<p><strong>Multi-Shelf Cleaning Cart 3 Shelves.&nbsp;</strong>For room service dependability.&nbsp;Generous storage capacity, services a minimum of 15 rooms.&nbsp;</p>",,,,,,,
Rubbermaid 6191 Full-Size Housekeeping Cart 3 Shelves ,RCP 6191 BLA,<p><strong>Full-Size Housekeeping Cart 3 Shelves.&nbsp;</strong>Generous storage capacity&mdash;services a minimum of 15 rooms.</p>,,,,,,,
Rubbermaid 6192 Compact Housekeeping Cart with Doors,RCP 6192 BLA,<p><strong>Compact Housekeeping Cart with Doors.&nbsp;</strong>Generous storage capacity&mdash;services a minimum of 15 rooms.</p>,,,,,,,
Rubbermaid 1966885 Bag for 6189,6190,6191, 6192 and 9T19 ,RCP 1966885,"<p><span style=""background-color: #000000;""><strong>Vinyle Replacement Bag</strong></span></p>",,,,
Rubbermaid 6194 Pail/Strainer Combinations 15 qt - Steel Gray,RCP 6194 STL,"<p><span style=""><strong>PAIL/STRAINER SYSTEM</strong> </span></p>",,,,,,,
Rubbermaid 6196 Housekeeping Cart Under Deck Shelf Kit - Black ,RCP 6196 BLA,"<p><span style="">Under Deck Shelf Kit for 6189, 6190, 6191, 6192 and 9T19 Carts.</span></p>",,,,,,,
Rubbermaid 6197 Housekeeping Cart-Locking Door Kit - Black,RCP 6197 BLA,"<p><strong><span style="">Locking Door Kit for 6189, 6190, 6191, 6192 and 9T19 Carts - Black</span></strong></p>",,,,,,,
Rubbermaid 6199 Utility Drawer with Lock - Brown ,RCP 6199 BRO,"<p><span style=""><strong>Utility Drawer with Lock - Brown</strong></span></p><p><span style="">For 4091, 4092, 4093, 4094, 4095, 4096, 6189, 6190, 6191, 6192, 6198, 9T33, 9T34, 9T35 and 9T19.</span></p>",,,,,,,
Rubbermaid 6243 Rigid Liner for 6143 Containers ,RCP 6243 GRA,<p><strong><span>Rigid Liner for 6143 Containers. </span></strong><span>Prolongs the life of your containers. </span><span>Designed to fit Rubbermaid and other manufacturers' containers.</span></p>,,,,,,,
Rubbermaid 6245 Rigid Liner for 6145 Containers  ,RCP 6245 GRA,<p><strong><span>Step-On Rigid Liner for 6145 Containers. </span></strong><span>Prolongs the life of your containers. </span><span>Designed to fit Rubbermaid and other manufacturers' containers.</span></p>,,,,,,,
Rubbermaid 6276 Multilingual Safety Cone,"CAUTION"" - Yellow,""RCP 6276 YEL","<p><strong><span>Multilingual Safety Cone, ""CAUTION"". </span></strong><span>Highly visible, bright yellow hazard protection system.</span></p>",,,,,,,
Rubbermaid 6276-77 Four-Sided Wet Floor Yellow Safety Cone,RCP 6276-77 YEL,"<p><strong><span>Four-Sided Wet Floor Yellow Safety Cone. </span></strong><span>Highly visible, bright yellow hazard protection system.</span></p>",,,,,,,
Rubbermaid 6277-77 Four-Sided Wet Floor Safety Cone - Yellow,RCP 6277-77 YEL,"<p><strong><span>Four-Sided Wet Floor Safety Cone. </span></strong><span>Highly visible, bright yellow hazard protection system.</span></p>",,,,,,,
Rubbermaid 6300 Step-On Linen Hamper - Plastic/Aluminum - Black,RCP 6300 BLA,"<p><span>Ideal for areas where medical waste originates, including patient rooms, labs, and emergency rooms.&nbsp;</span>Quiet, heavy-duty pedal for hands-free sanitary use.</p>",,,,,,,
Rubbermaid 6301 Toilet Bowl Brush - Yellow,RCP 6301 YEL,"<p><strong><span>Toilet Bowl Brush. </span></strong>A<span>vailable in several handle lengths, head sizes and styles.</span></p>",,,,,,,
Rubbermaid 6302 SpaceSaver Square Containers 2qt -  Clear,RCP 6302 CLE,"<p><span style=""><strong>CLEAR 2 QUART SPACE SAVER CONTAINER</strong></span></p><p><span style="">Square containers store up to 25% more on a shelf than round containers. </span></p>",,,,,,,
Rubbermaid 6306 SpaceSaver Square Containers, 6qt - Clear,RCP 6306 CLE,<p><span><strong>SpaceSaver Square Containers</strong>. Store more in less space. </span><span>Square containers store up to 25% more on a shelf than round containers in the same space.</span></p>,,,,,,
